regime,bin_low,bin_high,bin_mid,count,mean_confidence,empirical_accuracy,abs_calibration_gap
adversarial_shift,0.0,0.1,0.05,0,,,
adversarial_shift,0.1,0.2,0.15000000000000002,0,,,
adversarial_shift,0.2,0.30000000000000004,0.25,0,,,
adversarial_shift,0.30000000000000004,0.4,0.35000000000000003,0,,,
adversarial_shift,0.4,0.5,0.45,3,0.48882553493246866,0.0,0.48882553493246866
adversarial_shift,0.5,0.6000000000000001,0.55,58,0.5629993462058624,0.3620689655172414,0.20093038068862107
adversarial_shift,0.6000000000000001,0.7000000000000001,0.6500000000000001,476,0.6623201924083973,0.43067226890756305,0.2316479235008343
adversarial_shift,0.7000000000000001,0.8,0.75,1213,0.753839656984321,0.49546578730420443,0.25837386968011655
adversarial_shift,0.8,0.9,0.8500000000000001,950,0.8451460094124686,0.5631578947368421,0.28198811467562657
adversarial_shift,0.9,1.0,0.95,300,0.9414347721364292,0.69,0.2514347721364293
latency_spike,0.0,0.1,0.05,0,,,
latency_spike,0.1,0.2,0.15000000000000002,1,0.1328870005336507,0.0,0.1328870005336507
latency_spike,0.2,0.30000000000000004,0.25,8,0.27176877691528173,0.125,0.14676877691528173
latency_spike,0.30000000000000004,0.4,0.35000000000000003,66,0.36686557726909635,0.21212121212121213,0.15474436514788423
latency_spike,0.4,0.5,0.45,261,0.4603148500715046,0.3563218390804598,0.1039930109910448
latency_spike,0.5,0.6000000000000001,0.55,579,0.5534717279975626,0.43523316062176165,0.11823856737580096
latency_spike,0.6000000000000001,0.7000000000000001,0.6500000000000001,872,0.6499050441707683,0.5779816513761468,0.07192339279462157
latency_spike,0.7000000000000001,0.8,0.75,713,0.7449441672491163,0.6690042075736325,0.07593995967548373
latency_spike,0.8,0.9,0.8500000000000001,381,0.843948905415069,0.7139107611548556,0.13003814426021332
latency_spike,0.9,1.0,0.95,119,0.951686719465568,0.7226890756302521,0.22899764383531596
liquidity_crash,0.0,0.1,0.05,0,,,
liquidity_crash,0.1,0.2,0.15000000000000002,1,0.19282963146042115,0.0,0.19282963146042115
liquidity_crash,0.2,0.30000000000000004,0.25,2,0.26296928506194406,0.0,0.26296928506194406
liquidity_crash,0.30000000000000004,0.4,0.35000000000000003,26,0.367520703725269,0.3076923076923077,0.059828396032961306
liquidity_crash,0.4,0.5,0.45,139,0.4586801753862311,0.28776978417266186,0.17091039121356927
liquidity_crash,0.5,0.6000000000000001,0.55,463,0.5591898769321667,0.367170626349892,0.1920192505822747
liquidity_crash,0.6000000000000001,0.7000000000000001,0.6500000000000001,855,0.6515350395353071,0.5473684210526316,0.1041666184826755
liquidity_crash,0.7000000000000001,0.8,0.75,890,0.7453152619048925,0.6280898876404495,0.11722537426444302
liquidity_crash,0.8,0.9,0.8500000000000001,466,0.8443835092795411,0.7510729613733905,0.09331054790615056
liquidity_crash,0.9,1.0,0.95,158,0.943896762888776,0.8354430379746836,0.10845372491409244
normal,0.0,0.1,0.05,0,,,
normal,0.1,0.2,0.15000000000000002,1,0.19221498486596106,0.0,0.19221498486596106
normal,0.2,0.30000000000000004,0.25,23,0.2748537108010341,0.0,0.2748537108010341
normal,0.30000000000000004,0.4,0.35000000000000003,143,0.35721837331026457,0.0,0.35721837331026457
normal,0.4,0.5,0.45,314,0.45224512585519505,0.028662420382165606,0.42358270547302945
normal,0.5,0.6000000000000001,0.55,291,0.5514586034296235,0.27147766323024053,0.27998094019938297
normal,0.6000000000000001,0.7000000000000001,0.6500000000000001,492,0.655841999327897,0.8516260162601627,0.19578401693226566
normal,0.7000000000000001,0.8,0.75,824,0.7526450200877264,0.9939320388349514,0.24128701874722502
normal,0.8,0.9,0.8500000000000001,655,0.8456424954165916,1.0,0.15435750458340836
normal,0.9,1.0,0.95,257,0.9488409261073099,1.0,0.05115907389269014
volatile,0.0,0.1,0.05,0,,,
volatile,0.1,0.2,0.15000000000000002,1,0.17356286035691992,0.0,0.17356286035691992
volatile,0.2,0.30000000000000004,0.25,36,0.26315789707105824,0.08333333333333333,0.17982456373772493
volatile,0.30000000000000004,0.4,0.35000000000000003,94,0.36008582102064324,0.2127659574468085,0.14731986357383473
volatile,0.4,0.5,0.45,308,0.45827018636408423,0.2857142857142857,0.17255590064979853
volatile,0.5,0.6000000000000001,0.55,593,0.5537530319046791,0.45699831365935917,0.09675471824531989
volatile,0.6000000000000001,0.7000000000000001,0.6500000000000001,771,0.6520741494703889,0.6121919584954605,0.0398821909749284
volatile,0.7000000000000001,0.8,0.75,642,0.7470356936146538,0.7398753894080997,0.007160304206554113
volatile,0.8,0.9,0.8500000000000001,386,0.8426847828042971,0.8549222797927462,0.012237496988449004
volatile,0.9,1.0,0.95,169,0.9556642184433389,0.9349112426035503,0.020752975839788634
