agent,regime,n_episodes,n_steps,failure_rate,mean_steps
NaiveAgent,normal,10,30,1.0,6.3
NaiveAgent,volatile,10,30,1.0,2.7
NaiveAgent,adversarial_shift,10,30,1.0,1.6
NaiveAgent,latency_spike,10,30,1.0,1.6
NaiveAgent,liquidity_crash,10,30,1.0,1.6
ConfidenceThresholdAgent,normal,10,30,0.0,30.0
ConfidenceThresholdAgent,volatile,10,30,1.0,8.0
ConfidenceThresholdAgent,adversarial_shift,10,30,1.0,2.1
ConfidenceThresholdAgent,latency_spike,10,30,1.0,5.6
ConfidenceThresholdAgent,liquidity_crash,10,30,1.0,4.1
RiskGatedAgent,normal,10,30,0.0,30.0
RiskGatedAgent,volatile,10,30,0.3,25.8
RiskGatedAgent,adversarial_shift,10,30,0.4,22.5
RiskGatedAgent,latency_spike,10,30,0.2,28.0
RiskGatedAgent,liquidity_crash,10,30,0.1,29.4
MonitorThenActAgent,normal,10,30,0.1,29.5
MonitorThenActAgent,volatile,10,30,1.0,8.7
MonitorThenActAgent,adversarial_shift,10,30,1.0,2.9
MonitorThenActAgent,latency_spike,10,30,1.0,8.2
MonitorThenActAgent,liquidity_crash,10,30,1.0,11.1
ConservativeAbstentionAgent,normal,10,30,0.0,30.0
ConservativeAbstentionAgent,volatile,10,30,0.0,30.0
ConservativeAbstentionAgent,adversarial_shift,10,30,0.0,30.0
ConservativeAbstentionAgent,latency_spike,10,30,0.0,30.0
ConservativeAbstentionAgent,liquidity_crash,10,30,0.0,30.0
