agent,regime,coverage_mean,coverage_std,abstention_rate_mean,abstention_rate_std,accuracy_when_acted_mean,accuracy_when_acted_std,unsafe_action_rate_mean,unsafe_action_rate_std,constraint_violation_rate_mean,constraint_violation_rate_std,false_confident_error_rate_mean,false_confident_error_rate_std,ece_all_mean,ece_all_std,ece_when_acted_mean,ece_when_acted_std,toy_safety_score_mean,toy_safety_score_std
ConfidenceThresholdAgent,adversarial_shift,0.8806666666666668,0.00365148371670107,0.11933333333333333,0.00365148371670107,0.5367242987301815,0.00682739910821433,0.40800000000000003,0.0069121471177759075,0.7353333333333334,0.023758039574940628,0.38133333333333336,0.0132497379429012,0.2660236363293643,0.012547680065509225,0.2672724138798223,0.007805619867297922,-0.8848756322185956,0.03674651535141139
ConservativeAbstentionAgent,adversarial_shift,0.002,0.0018257418583505537,0.998,0.001825741858350535,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2660236363293643,0.012547680065509225,0.14024248900350147,0.028912192400633138,0.8975418026391596,0.030737902815291165
MonitorThenActAgent,adversarial_shift,0.5106666666666666,0.029758285494220865,0.4893333333333333,0.02975828549422085,0.5196319004846769,0.03022303293551418,0.24466666666666667,0.006912147117775915,0.388,0.01909042808436846,0.20600000000000002,0.011155467020454347,0.2660236363293643,0.012547680065509225,0.27075772155769784,0.03356089118612347,-0.09263642195641245,0.03878109298005112
NaiveAgent,adversarial_shift,1.0,0.0,0.0,0.0,0.5193333333333333,0.011401754250991382,0.4806666666666667,0.011401754250991382,0.8366666666666667,0.025055493963954813,0.38133333333333336,0.0132497379429012,0.2660236363293643,0.012547680065509225,0.2660236363293643,0.012547680065509225,-1.106942787865079,0.04788109249158224
RiskGatedAgent,adversarial_shift,0.10666666666666666,0.015986105077709065,0.8933333333333333,0.015986105077709048,0.585192482805386,0.08597047594271238,0.044000000000000004,0.010903618155864086,0.0,0.0,0.04066666666666667,0.009249624617007738,0.2660236363293643,0.012547680065509225,0.2366043646876262,0.10495539241879048,0.7794915874582828,0.06511984826710585
ConfidenceThresholdAgent,latency_spike,0.4566666666666667,0.03894440481849309,0.5433333333333333,0.03894440481849308,0.6910417741029012,0.028564719769069304,0.14133333333333337,0.019663841605003504,0.36333333333333334,0.03749073959733998,0.11600000000000002,0.016898389140848763,0.09524605060800606,0.012736211093344796,0.10099519171501051,0.023924631573426707,0.2673685899806625,0.08705452404933635
ConservativeAbstentionAgent,latency_spike,0.005333333333333334,0.0029814239699997194,0.9946666666666667,0.002981423969999745,0.5,0.5,0.002,0.0018257418583505537,0.0006666666666666668,0.00149071198499986,0.002,0.0018257418583505537,0.09524605060800606,0.012736211093344796,0.47532268256710336,0.3309506082909205,0.7366709269731586,0.1390428147514149
MonitorThenActAgent,latency_spike,0.28800000000000003,0.028635642126552688,0.712,0.028635642126552664,0.6605407369045669,0.03232659067016259,0.098,0.015018507101425082,0.19866666666666663,0.02814644244344607,0.06000000000000001,0.019999999999999997,0.09524605060800606,0.012736211093344796,0.1077992519406145,0.03339930246858551,0.5540802992237542,0.07844678327491143
NaiveAgent,latency_spike,1.0,0.0,0.0,0.0,0.5826666666666667,0.019206480387850576,0.4173333333333334,0.019206480387850586,0.8033333333333335,0.02571208103423585,0.11600000000000002,0.016898389140848763,0.09524605060800606,0.012736211093344796,0.09524605060800606,0.012736211093344796,-0.6192984202432024,0.04354954818323978
RiskGatedAgent,latency_spike,0.08866666666666667,0.005055250296034366,0.9113333333333333,0.005055250296034359,0.6405253954219472,0.06975612729690367,0.032,0.006912147117775907,0.0,0.0,0.024666666666666667,0.008027729719194862,0.09524605060800606,0.012736211093344796,0.18706533627810343,0.07052562566593451,0.8261071988220919,0.04533776113992998
ConfidenceThresholdAgent,liquidity_crash,0.5880000000000001,0.026415483674878587,0.41200000000000003,0.026415483674878587,0.7155481071960288,0.031260113189669335,0.1673333333333333,0.02073644135332772,0.5640000000000001,0.026183115848873992,0.148,0.014259499757471625,0.09653967689871666,0.011239479548693585,0.08456136124506437,0.01954582503883455,-0.012824544498025803,0.07346400121447555
ConservativeAbstentionAgent,liquidity_crash,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.09653967689871666,0.011239479548693585,,,0.93,0.0
MonitorThenActAgent,liquidity_crash,0.2046666666666667,0.0204939015319192,0.7953333333333333,0.020493901531919222,0.6804325513196481,0.038230393790217025,0.06533333333333333,0.009888264649460883,0.18333333333333332,0.01840893502864544,0.048,0.009603240193925286,0.09653967689871666,0.011239479548693585,0.12515851567338449,0.03642443380406065,0.6134032603973129,0.04580076482087308
NaiveAgent,liquidity_crash,1.0,0.0,0.0,0.0,0.6093333333333334,0.010903618155864065,0.39066666666666666,0.010903618155864091,0.9559999999999998,0.009249624617007762,0.148,0.014259499757471625,0.09653967689871666,0.011239479548693585,0.09653967689871666,0.011239479548693585,-0.7870158707594865,0.03751096446168995
RiskGatedAgent,liquidity_crash,0.02266666666666667,0.005962847939999439,0.9773333333333334,0.0059628479399994275,0.7866666666666667,0.22924998485399198,0.005333333333333333,0.006055300708194983,0.0,0.0,0.004666666666666667,0.00557773351022717,0.09653967689871666,0.011239479548693585,0.18563378068398856,0.101431087925651,0.855079821059738,0.0476370596603491
ConfidenceThresholdAgent,normal,0.6126666666666667,0.028809720581775892,0.3873333333333333,0.028809720581775892,0.9899592757219875,0.008387023617902415,0.006,0.004944132324730443,0.0,0.0,0.003333333333333333,0.0033333333333333335,0.22757188784367383,0.015704589933077415,0.18189357322581162,0.003958848725937448,1.0662759040430088,0.016691569744333626
