agent,regime,reason,count,fraction
ConfidenceThresholdAgent,adversarial_shift,confidence_pass,2633,0.8776666666666667
ConfidenceThresholdAgent,adversarial_shift,low_confidence,367,0.12233333333333334
ConservativeAbstentionAgent,adversarial_shift,high_volatility,1753,0.5843333333333334
ConservativeAbstentionAgent,adversarial_shift,low_confidence,1216,0.4053333333333333
ConservativeAbstentionAgent,adversarial_shift,low_liquidity,15,0.005
ConservativeAbstentionAgent,adversarial_shift,conservative_pass,7,0.0023333333333333335
ConservativeAbstentionAgent,adversarial_shift,monitor_block,5,0.0016666666666666668
ConservativeAbstentionAgent,adversarial_shift,latency_spike,4,0.0013333333333333333
MonitorThenActAgent,adversarial_shift,monitor_block,1410,0.47
MonitorThenActAgent,adversarial_shift,monitor_pass,1410,0.47
MonitorThenActAgent,adversarial_shift,low_confidence,180,0.06
NaiveAgent,adversarial_shift,always_act,3000,1.0
RiskGatedAgent,adversarial_shift,high_volatility,2091,0.697
RiskGatedAgent,adversarial_shift,low_confidence,367,0.12233333333333334
RiskGatedAgent,adversarial_shift,risk_gate_pass,294,0.098
RiskGatedAgent,adversarial_shift,low_liquidity,132,0.044
RiskGatedAgent,adversarial_shift,wide_spread,112,0.037333333333333336
RiskGatedAgent,adversarial_shift,latency_spike,4,0.0013333333333333333
ConfidenceThresholdAgent,latency_spike,low_confidence,1625,0.5416666666666666
ConfidenceThresholdAgent,latency_spike,confidence_pass,1375,0.4583333333333333
ConservativeAbstentionAgent,latency_spike,low_confidence,2268,0.756
ConservativeAbstentionAgent,latency_spike,latency_spike,438,0.146
ConservativeAbstentionAgent,latency_spike,high_volatility,261,0.087
ConservativeAbstentionAgent,latency_spike,low_liquidity,16,0.005333333333333333
ConservativeAbstentionAgent,latency_spike,conservative_pass,11,0.0036666666666666666
ConservativeAbstentionAgent,latency_spike,monitor_block,6,0.002
MonitorThenActAgent,latency_spike,low_confidence,1255,0.41833333333333333
MonitorThenActAgent,latency_spike,monitor_pass,875,0.2916666666666667
MonitorThenActAgent,latency_spike,monitor_block,870,0.29
NaiveAgent,latency_spike,always_act,3000,1.0
RiskGatedAgent,latency_spike,low_confidence,1625,0.5416666666666666
RiskGatedAgent,latency_spike,latency_spike,855,0.285
RiskGatedAgent,latency_spike,risk_gate_pass,251,0.08366666666666667
RiskGatedAgent,latency_spike,high_volatility,183,0.061
RiskGatedAgent,latency_spike,low_liquidity,53,0.017666666666666667
RiskGatedAgent,latency_spike,wide_spread,33,0.011
ConfidenceThresholdAgent,liquidity_crash,confidence_pass,1680,0.56
ConfidenceThresholdAgent,liquidity_crash,low_confidence,1320,0.44
ConservativeAbstentionAgent,liquidity_crash,low_confidence,2083,0.6943333333333334
ConservativeAbstentionAgent,liquidity_crash,high_volatility,595,0.19833333333333333
ConservativeAbstentionAgent,liquidity_crash,latency_spike,184,0.06133333333333333
ConservativeAbstentionAgent,liquidity_crash,low_liquidity,138,0.046
MonitorThenActAgent,liquidity_crash,monitor_block,1462,0.48733333333333334
MonitorThenActAgent,liquidity_crash,low_confidence,935,0.31166666666666665
MonitorThenActAgent,liquidity_crash,monitor_pass,603,0.201
NaiveAgent,liquidity_crash,always_act,3000,1.0
RiskGatedAgent,liquidity_crash,low_confidence,1320,0.44
RiskGatedAgent,liquidity_crash,low_liquidity,841,0.2803333333333333
RiskGatedAgent,liquidity_crash,high_volatility,513,0.171
RiskGatedAgent,liquidity_crash,wide_spread,144,0.048
RiskGatedAgent,liquidity_crash,latency_spike,109,0.036333333333333336
RiskGatedAgent,liquidity_crash,risk_gate_pass,73,0.024333333333333332
ConfidenceThresholdAgent,normal,confidence_pass,1858,0.6193333333333333
ConfidenceThresholdAgent,normal,low_confidence,1142,0.38066666666666665
ConservativeAbstentionAgent,normal,low_confidence,1740,0.58
ConservativeAbstentionAgent,normal,conservative_pass,1245,0.415
ConservativeAbstentionAgent,normal,high_volatility,6,0.002
ConservativeAbstentionAgent,normal,low_liquidity,5,0.0016666666666666668
ConservativeAbstentionAgent,normal,monitor_block,4,0.0013333333333333333
MonitorThenActAgent,normal,monitor_pass,2073,0.691
MonitorThenActAgent,normal,low_confidence,927,0.309
NaiveAgent,normal,always_act,3000,1.0
RiskGatedAgent,normal,risk_gate_pass,1858,0.6193333333333333
RiskGatedAgent,normal,low_confidence,1142,0.38066666666666665
ConfidenceThresholdAgent,volatile,low_confidence,1657,0.5523333333333333
ConfidenceThresholdAgent,volatile,confidence_pass,1343,0.44766666666666666
ConservativeAbstentionAgent,volatile,low_confidence,2228,0.7426666666666667
ConservativeAbstentionAgent,volatile,high_volatility,580,0.19333333333333333
ConservativeAbstentionAgent,volatile,conservative_pass,95,0.03166666666666667
ConservativeAbstentionAgent,volatile,low_liquidity,50,0.016666666666666666
ConservativeAbstentionAgent,volatile,monitor_block,25,0.008333333333333333
ConservativeAbstentionAgent,volatile,latency_spike,22,0.007333333333333333
MonitorThenActAgent,volatile,monitor_pass,1382,0.46066666666666667
MonitorThenActAgent,volatile,low_confidence,1298,0.43266666666666664
MonitorThenActAgent,volatile,monitor_block,320,0.10666666666666667
NaiveAgent,volatile,always_act,3000,1.0
RiskGatedAgent,volatile,low_confidence,1657,0.5523333333333333
RiskGatedAgent,volatile,risk_gate_pass,686,0.22866666666666666
RiskGatedAgent,volatile,high_volatility,541,0.18033333333333335
RiskGatedAgent,volatile,low_liquidity,87,0.029
RiskGatedAgent,volatile,wide_spread,29,0.009666666666666667
