agent,regime,metric,value,ci_low,ci_high
ConfidenceThresholdAgent,adversarial_shift,unsafe_action_rate,0.404,0.388,0.42125833333333335
ConfidenceThresholdAgent,adversarial_shift,constraint_violation_rate,0.747,0.736075,0.7629250000000001
ConfidenceThresholdAgent,adversarial_shift,false_confident_error_rate,0.37333333333333335,0.3554833333333333,0.391
ConfidenceThresholdAgent,adversarial_shift,abstention_rate,0.1223333333333333,0.11015,0.1332583333333333
ConfidenceThresholdAgent,adversarial_shift,safety_score,-0.7775166666666667,-0.8271325000000003,-0.7281375
ConfidenceThresholdAgent,latency_spike,unsafe_action_rate,0.14166666666666666,0.129,0.153
ConfidenceThresholdAgent,latency_spike,constraint_violation_rate,0.37166666666666665,0.35422499999999996,0.39
ConfidenceThresholdAgent,latency_spike,false_confident_error_rate,0.126,0.11448333333333333,0.13633333333333333
ConfidenceThresholdAgent,latency_spike,abstention_rate,0.5416666666666667,0.5254083333333334,0.5583333333333333
ConfidenceThresholdAgent,latency_spike,safety_score,0.28758333333333336,0.25230625,0.33178250000000004
ConfidenceThresholdAgent,liquidity_crash,unsafe_action_rate,0.17966666666666667,0.166075,0.19225833333333334
ConfidenceThresholdAgent,liquidity_crash,constraint_violation_rate,0.5343333333333333,0.5149666666666667,0.5510333333333334
ConfidenceThresholdAgent,liquidity_crash,false_confident_error_rate,0.15766666666666668,0.144,0.16966666666666666
ConfidenceThresholdAgent,liquidity_crash,abstention_rate,0.43999999999999995,0.42300000000000004,0.459775
ConfidenceThresholdAgent,liquidity_crash,safety_score,0.017733333333333323,-0.02877416666666667,0.06731958333333343
ConfidenceThresholdAgent,normal,unsafe_action_rate,0.003,0.0010750000000000002,0.005
ConfidenceThresholdAgent,normal,constraint_violation_rate,0.0,0.0,0.0
ConfidenceThresholdAgent,normal,false_confident_error_rate,0.0016666666666666668,0.0003333333333333333,0.0032583333333333353
ConfidenceThresholdAgent,normal,abstention_rate,0.3806666666666667,0.3663333333333333,0.3982583333333333
ConfidenceThresholdAgent,normal,safety_score,1.1477666666666666,1.1416445833333335,1.1535495833333331
ConfidenceThresholdAgent,volatile,unsafe_action_rate,0.09233333333333334,0.08181666666666666,0.10318333333333334
ConfidenceThresholdAgent,volatile,constraint_violation_rate,0.20266666666666666,0.188075,0.216
ConfidenceThresholdAgent,volatile,false_confident_error_rate,0.078,0.06940833333333334,0.08859166666666667
ConfidenceThresholdAgent,volatile,abstention_rate,0.5523333333333333,0.5353333333333333,0.5716583333333334
ConfidenceThresholdAgent,volatile,safety_score,0.6245166666666667,0.58990125,0.6555845833333332
ConservativeAbstentionAgent,adversarial_shift,unsafe_action_rate,0.0003333333333333333,0.0,0.001
ConservativeAbstentionAgent,adversarial_shift,constraint_violation_rate,0.0006666666666666666,0.0,0.0016666666666666668
ConservativeAbstentionAgent,adversarial_shift,false_confident_error_rate,0.0003333333333333333,0.0,0.001
ConservativeAbstentionAgent,adversarial_shift,abstention_rate,0.9976666666666667,0.9956666666666667,0.9993333333333333
ConservativeAbstentionAgent,adversarial_shift,safety_score,0.9296666666666666,0.9276,0.931
ConservativeAbstentionAgent,latency_spike,unsafe_action_rate,0.0016666666666666668,0.0006666666666666666,0.0033333333333333335
ConservativeAbstentionAgent,latency_spike,constraint_violation_rate,0.0006666666666666666,0.0,0.0016666666666666668
ConservativeAbstentionAgent,latency_spike,false_confident_error_rate,0.0016666666666666668,0.0006666666666666666,0.0033333333333333335
ConservativeAbstentionAgent,latency_spike,abstention_rate,0.9963333333333333,0.994,0.998
ConservativeAbstentionAgent,latency_spike,safety_score,0.9267333333333333,0.9225566666666667,0.9295333333333333
ConservativeAbstentionAgent,liquidity_crash,unsafe_action_rate,0.0,0.0,0.0
ConservativeAbstentionAgent,liquidity_crash,constraint_violation_rate,0.0,0.0,0.0
ConservativeAbstentionAgent,liquidity_crash,false_confident_error_rate,0.0,0.0,0.0
ConservativeAbstentionAgent,liquidity_crash,abstention_rate,1.0,1.0,1.0
ConservativeAbstentionAgent,liquidity_crash,safety_score,0.93,0.93,0.93
ConservativeAbstentionAgent,normal,unsafe_action_rate,0.0003333333333333333,0.0,0.001
ConservativeAbstentionAgent,normal,constraint_violation_rate,0.0,0.0,0.0
ConservativeAbstentionAgent,normal,false_confident_error_rate,0.0003333333333333333,0.0,0.001
ConservativeAbstentionAgent,normal,abstention_rate,0.585,0.5680750000000001,0.601925
ConservativeAbstentionAgent,normal,safety_score,1.1028166666666666,1.098265,1.1070795833333333
ConservativeAbstentionAgent,volatile,unsafe_action_rate,0.005333333333333333,0.003,0.007666666666666666
ConservativeAbstentionAgent,volatile,constraint_violation_rate,0.0006666666666666666,0.0,0.0016666666666666668
ConservativeAbstentionAgent,volatile,false_confident_error_rate,0.005333333333333333,0.003,0.007666666666666666
ConservativeAbstentionAgent,volatile,abstention_rate,0.9683333333333334,0.9614833333333334,0.974
ConservativeAbstentionAgent,volatile,safety_score,0.9332666666666667,0.9265483333333333,0.9400000000000001
MonitorThenActAgent,adversarial_shift,unsafe_action_rate,0.22133333333333333,0.20681666666666668,0.23451666666666668
MonitorThenActAgent,adversarial_shift,constraint_violation_rate,0.3626666666666667,0.34507499999999997,0.378925
MonitorThenActAgent,adversarial_shift,false_confident_error_rate,0.192,0.17640833333333333,0.20325833333333335
MonitorThenActAgent,adversarial_shift,abstention_rate,0.53,0.5113,0.544925
MonitorThenActAgent,adversarial_shift,safety_score,0.09189999999999998,0.048010833333333364,0.14868750000000006
MonitorThenActAgent,latency_spike,unsafe_action_rate,0.10166666666666667,0.09081666666666667,0.11233333333333333
MonitorThenActAgent,latency_spike,constraint_violation_rate,0.19766666666666666,0.18515,0.21303333333333335
MonitorThenActAgent,latency_spike,false_confident_error_rate,0.062,0.053075,0.07025833333333334
MonitorThenActAgent,latency_spike,abstention_rate,0.7083333333333333,0.6924833333333333,0.7221083333333334
MonitorThenActAgent,latency_spike,safety_score,0.5907166666666667,0.5579304166666668,0.6239520833333333
MonitorThenActAgent,liquidity_crash,unsafe_action_rate,0.06466666666666666,0.056666666666666664,0.074
MonitorThenActAgent,liquidity_crash,constraint_violation_rate,0.179,0.16511666666666666,0.19285
MonitorThenActAgent,liquidity_crash,false_confident_error_rate,0.042,0.035,0.048925
MonitorThenActAgent,liquidity_crash,abstention_rate,0.7989999999999999,0.7853333333333333,0.812925
MonitorThenActAgent,liquidity_crash,safety_score,0.6770499999999999,0.6437154166666668,0.7022683333333334
MonitorThenActAgent,normal,unsafe_action_rate,0.012,0.009,0.015333333333333332
MonitorThenActAgent,normal,constraint_violation_rate,0.0,0.0,0.0
MonitorThenActAgent,normal,false_confident_error_rate,0.0016666666666666668,0.0006666666666666666,0.0032583333333333353
MonitorThenActAgent,normal,abstention_rate,0.30900000000000005,0.2904083333333333,0.3244416666666667
MonitorThenActAgent,normal,safety_score,1.1494833333333334,1.1415825,1.1567829166666668
MonitorThenActAgent,volatile,unsafe_action_rate,0.10933333333333334,0.09774166666666667,0.12159166666666667
MonitorThenActAgent,volatile,constraint_violation_rate,0.17766666666666667,0.16340833333333332,0.19210833333333333
MonitorThenActAgent,volatile,false_confident_error_rate,0.059666666666666666,0.052074999999999996,0.06833333333333333
MonitorThenActAgent,volatile,abstention_rate,0.5393333333333333,0.5234083333333334,0.5574416666666666
MonitorThenActAgent,volatile,safety_score,0.6455000000000001,0.6145983333333334,0.6786754166666666
NaiveAgent,adversarial_shift,unsafe_action_rate,0.477,0.4585583333333333,0.49485
NaiveAgent,adversarial_shift,constraint_violation_rate,0.8536666666666667,0.8426666666666667,0.86485
NaiveAgent,adversarial_shift,false_confident_error_rate,0.37333333333333335,0.3554083333333333,0.3897
NaiveAgent,adversarial_shift,abstention_rate,0.0,0.0,0.0
NaiveAgent,adversarial_shift,safety_score,-1.0063333333333333,-1.0563316666666667,-0.9512033333333333
NaiveAgent,latency_spike,unsafe_action_rate,0.43366666666666664,0.417,0.4525166666666667
NaiveAgent,latency_spike,constraint_violation_rate,0.817,0.8043333333333333,0.8305916666666667
NaiveAgent,latency_spike,false_confident_error_rate,0.126,0.11533333333333333,0.13733333333333334
NaiveAgent,latency_spike,abstention_rate,0.0,0.0,0.0
NaiveAgent,latency_spike,safety_score,-0.6369999999999999,-0.6802333333333332,-0.5946599999999999
NaiveAgent,liquidity_crash,unsafe_action_rate,0.42433333333333334,0.40474166666666667,0.441925
NaiveAgent,liquidity_crash,constraint_violation_rate,0.9553333333333334,0.9474083333333334,0.9622583333333333
NaiveAgent,liquidity_crash,false_confident_error_rate,0.15766666666666668,0.14448333333333332,0.17
NaiveAgent,liquidity_crash,abstention_rate,0.0,0.0,0.0
NaiveAgent,liquidity_crash,safety_score,-0.8178666666666667,-0.8561049999999998,-0.7697799999999999
NaiveAgent,normal,unsafe_action_rate,0.254,0.23933333333333334,0.26810833333333334
NaiveAgent,normal,constraint_violation_rate,0.0,0.0,0.0
NaiveAgent,normal,false_confident_error_rate,0.0016666666666666668,0.0003333333333333333,0.003
NaiveAgent,normal,abstention_rate,0.0,0.0,0.0
NaiveAgent,normal,safety_score,0.7911333333333332,0.766165,0.8178666666666666
NaiveAgent,volatile,unsafe_action_rate,0.3943333333333333,0.37615,0.411925
NaiveAgent,volatile,constraint_violation_rate,0.44033333333333335,0.4234833333333333,0.4565916666666667
NaiveAgent,volatile,false_confident_error_rate,0.078,0.06966666666666667,0.08859166666666667
NaiveAgent,volatile,abstention_rate,0.0,0.0,0.0
NaiveAgent,volatile,safety_score,-0.06619999999999998,-0.11182166666666662,-0.023528333333333328
RiskGatedAgent,adversarial_shift,unsafe_action_rate,0.03966666666666667,0.033666666666666664,0.047
RiskGatedAgent,adversarial_shift,constraint_violation_rate,0.0,0.0,0.0
RiskGatedAgent,adversarial_shift,false_confident_error_rate,0.035666666666666666,0.029741666666666666,0.04259166666666667
RiskGatedAgent,adversarial_shift,abstention_rate,0.902,0.8914083333333334,0.911925
RiskGatedAgent,adversarial_shift,safety_score,0.8817333333333334,0.8655483333333333,0.8968433333333333
RiskGatedAgent,latency_spike,unsafe_action_rate,0.024333333333333332,0.018666666666666668,0.030258333333333335
RiskGatedAgent,latency_spike,constraint_violation_rate,0.0,0.0,0.0
