agent,confidence_threshold,volatility_limit,monitor_limit,coverage_mean,unsafe_action_rate_mean
RiskGatedAgent,0.6,0.7,,0.21600000000000003,0.03
RiskGatedAgent,0.6,0.78,,0.26,0.04
RiskGatedAgent,0.6,0.86,,0.316,0.052000000000000005
RiskGatedAgent,0.68,0.7,,0.172,0.012
RiskGatedAgent,0.68,0.78,,0.21200000000000002,0.02
RiskGatedAgent,0.68,0.86,,0.262,0.032
RiskGatedAgent,0.76,0.7,,0.12400000000000003,0.002
RiskGatedAgent,0.76,0.78,,0.152,0.006
RiskGatedAgent,0.76,0.86,,0.184,0.014000000000000002
MonitorThenActAgent,0.6,,0.5,0.284,0.052000000000000005
MonitorThenActAgent,0.6,,0.58,0.41400000000000003,0.096
MonitorThenActAgent,0.6,,0.66,0.552,0.15200000000000002
MonitorThenActAgent,0.68,,0.5,0.236,0.036
MonitorThenActAgent,0.68,,0.58,0.32399999999999995,0.062
MonitorThenActAgent,0.68,,0.66,0.426,0.10400000000000001
MonitorThenActAgent,0.76,,0.5,0.168,0.016
MonitorThenActAgent,0.76,,0.58,0.21600000000000003,0.027999999999999997
MonitorThenActAgent,0.76,,0.66,0.28400000000000003,0.05
